; oligo-analysis  -v 1 -sort -i $RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta -format fasta -return occ -table -1str -quick_if_possible -seqtype dna -bg upstream-noorf -org Escherichia_coli_GCF_000005845.2_ASM584v2 -pseudo 0.01 -l 2 -o $RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.120653_hiGSOB_2nt.tab
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Slow counting mode           
; Oligomer length              	2
; Input file                   	$RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta
; Input format                 	fasta
; Output file                  	$RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.120653_hiGSOB_2nt.tab
; Count overlapping matches
; Counted on a single strand
; Number of output patterns	16
# seq	aa	ac	ag	at	ca	cc	cg	ct	ga	gc	gg	gt	ta	tc	tg	tt
thrL	27	15	15	16	15	5	4	14	10	10	6	12	20	9	13	21
thrA	12	9	6	0	7	5	6	2	5	5	5	4	3	1	2	8
yaaX	29	7	14	23	10	9	10	9	18	9	15	5	15	13	8	18
yaaA	7	4	2	7	7	1	2	6	3	3	3	1	3	8	3	8
yaaJ	19	21	15	22	18	12	21	13	17	17	13	16	23	15	13	22
talB	22	16	13	22	13	13	21	15	15	17	12	21	23	17	18	19
mog	9	7	5	4	5	5	7	12	6	4	4	9	5	13	8	10
satP	14	9	5	15	10	12	6	6	12	5	8	2	7	8	8	20
yaaW	6	1	3	2	3	2	1	0	2	2	0	0	2	0	0	0
yaaI	46	18	19	32	28	14	13	22	18	16	19	20	23	28	22	37
dnaK	37	20	22	32	22	19	13	19	28	16	14	18	23	18	28	46
dnaJ	11	4	3	7	4	6	6	5	3	5	10	2	7	6	2	6
insL1	14	5	8	9	5	13	8	8	6	12	14	10	11	3	13	6
hokC	3	3	8	1	3	2	1	3	6	2	2	4	3	2	3	1
nhaA	54	24	18	49	25	21	24	37	25	27	11	11	42	34	21	58
nhaR	3	3	5	3	4	4	3	2	5	2	8	2	3	3	1	7
insA	23	16	18	23	18	15	10	21	24	19	10	18	16	14	33	27
rpsT	12	6	5	9	8	5	3	4	6	6	8	2	6	4	6	11
yaaY	11	2	4	9	6	8	3	5	4	6	5	6	6	6	8	12
ribF	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0
ileS	7	3	1	4	1	3	3	2	4	1	1	2	3	2	3	1
fkpB	14	5	5	11	5	10	11	7	7	14	6	2	9	5	7	5
rihC	7	2	4	5	3	3	3	2	3	5	3	4	5	2	4	9
dapB	12	6	6	17	12	6	7	13	6	12	6	8	11	13	13	17
carA	50	11	16	47	27	18	11	18	15	23	11	29	32	21	40	85
carB	3	0	4	0	1	1	0	0	2	1	1	1	1	1	0	0
caiF	19	12	12	29	14	7	11	12	18	10	10	12	21	15	17	41
caiE	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
