; oligo-analysis  -v 1 -sort -i $RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta -format fasta -return occ -table -1str -noov -quick_if_possible -seqtype dna -bg upstream-noorf -org Escherichia_coli_GCF_000005845.2_ASM584v2 -pseudo 0.01 -l 2 -o $RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.104844_7ZpmZl_2nt.tab
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Slow counting mode           
; Oligomer length              	2
; Input file                   	$RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102400_zNNOQn.fasta.fasta
; Input format                 	fasta
; Output file                  	$RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.104844_7ZpmZl_2nt.tab
; Discard overlapping matches
; Counted on a single strand
; Number of output patterns	16
# seq	aa	ac	ag	at	ca	cc	cg	ct	ga	gc	gg	gt	ta	tc	tg	tt
thrL	18	15	15	16	15	5	4	14	10	10	5	12	20	9	13	16
thrA	8	9	6	0	7	4	6	2	5	5	4	4	3	1	2	4
yaaX	21	7	14	23	10	7	10	9	18	9	12	5	15	13	8	14
yaaA	5	4	2	7	7	1	2	6	3	3	3	1	3	8	3	5
yaaJ	15	21	15	22	18	10	21	13	17	17	10	16	23	15	13	15
talB	15	16	13	22	13	10	21	15	15	17	10	21	23	17	18	15
mog	6	7	5	4	5	4	7	12	6	4	3	9	5	13	8	8
satP	9	9	5	15	10	9	6	6	12	5	6	2	7	8	8	15
yaaW	4	1	3	2	3	2	1	0	2	2	0	0	2	0	0	0
yaaI	31	18	19	32	28	10	13	22	18	16	14	20	23	28	22	26
dnaK	26	20	22	32	22	14	13	19	28	16	10	18	23	18	28	31
dnaJ	8	4	3	7	4	4	6	5	3	5	6	2	7	6	2	4
insL1	10	5	8	9	5	10	8	8	6	12	9	10	11	3	13	5
hokC	3	3	8	1	3	2	1	3	6	2	2	4	3	2	3	1
nhaA	40	24	18	49	25	18	24	37	25	27	9	11	42	34	21	43
nhaR	2	3	5	3	4	3	3	2	5	2	6	2	3	3	1	5
insA	19	16	18	23	18	12	10	21	24	19	9	18	16	14	33	18
rpsT	9	6	5	9	8	5	3	4	6	6	6	2	6	4	6	8
yaaY	8	2	4	9	6	6	3	5	4	6	5	6	6	6	8	9
ribF	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0
ileS	5	3	1	4	1	3	3	2	4	1	1	2	3	2	3	1
fkpB	8	5	5	11	5	9	11	7	7	14	6	2	9	5	7	4
rihC	5	2	4	5	3	3	3	2	3	5	3	4	5	2	4	7
dapB	9	6	6	17	12	4	7	13	6	12	6	8	11	13	13	12
carA	35	11	16	47	27	15	11	18	15	23	9	29	32	21	40	56
