; oligo-analysis  -v 1 -sort -i $RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102320_q0uO0g.fasta.fasta -format fasta -return occ -table -1str -quick_if_possible -seqtype dna -bg upstream-noorf -org Saccharomyces_cerevisiae -pseudo 0.01 -l 2 -o $RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.121001_FPd5b0_2nt.tab
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Slow counting mode           
; Oligomer length              	2
; Input file                   	$RSAT/public_html/tmp/www-data/2020/02/17/retrieve-seq_2020-02-17.102320_q0uO0g.fasta.fasta
; Input format                 	fasta
; Output file                  	$RSAT/public_html/tmp/www-data/2020/02/17/oligo-analysis_2020-02-17.121001_FPd5b0_2nt.tab
; Count overlapping matches
; Counted on a single strand
; Number of output patterns	16
# seq	aa	ac	ag	at	ca	cc	cg	ct	ga	gc	gg	gt	ta	tc	tg	tt
PAU8	35	19	23	35	25	12	7	15	26	13	6	10	27	15	19	22
YAL067W-A	22	10	15	35	19	6	7	23	15	13	12	19	27	26	25	35
SEO1	72	34	27	51	27	17	14	24	29	13	17	30	55	19	31	39
YAL065C	6	8	5	5	6	3	5	7	8	4	5	7	5	6	9	4
YAL064W-B	4	7	7	5	9	5	5	5	6	4	3	8	5	8	6	6
YAL064C-A	45	35	23	47	36	22	12	34	35	17	23	19	34	30	36	51
YAL064W	69	26	37	44	28	11	13	26	34	20	19	25	46	21	28	52
YAL063C-A	58	26	27	38	20	11	15	35	38	11	17	27	33	33	33	77
FLO9	68	32	23	49	39	18	12	31	20	16	13	16	45	34	17	66
GDH3	63	31	35	56	36	14	8	22	29	18	20	18	58	17	21	53
BDH2	51	25	37	45	30	11	13	22	29	19	28	36	49	20	34	50
BDH1	53	21	24	30	21	21	17	33	24	15	18	26	30	35	24	60
ECM1	16	6	10	19	5	6	4	12	12	6	7	9	19	9	13	51
CNE1	38	16	15	35	16	3	7	16	14	7	9	18	35	16	17	53
GPB2	32	15	16	39	23	9	7	8	15	9	8	15	32	15	16	26
PEX22	58	10	19	31	16	5	3	9	16	6	5	12	27	13	12	32
ACS1	50	23	19	46	30	33	19	32	20	22	26	32	38	36	36	37
FLC2	40	29	17	58	28	16	18	22	26	17	15	24	50	23	32	84
OAF1	34	17	17	33	21	12	7	17	14	12	11	14	32	17	16	38
AIM2	28	10	13	15	15	10	4	14	9	9	8	7	15	14	8	25
GEM1	33	16	6	26	15	3	3	10	8	2	3	9	25	10	10	19
SPC72	27	10	9	17	11	4	3	9	4	6	2	9	20	8	7	24
AIM1	15	6	7	11	6	3	5	10	9	4	3	5	10	11	6	20
YAL044W-A	20	5	10	11	6	3	5	7	11	4	3	6	10	9	6	15
