gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
YDL248W	YDL248W	YDL248W	NP_010033	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL248W	YDL248W	YDL248W	NM_001180308	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL248W	YDL248W	YDL248W	NM_001180308	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL247W	YDL247W	YDL247W	NP_010034	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL247W	YDL247W	YDL247W	NM_001180307	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL247W	YDL247W	YDL247W	NM_001180307	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL246C	YDL246C	YDL246C	NP_010035	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL246C	YDL246C	YDL246C	NM_001180306	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL246C	YDL246C	YDL246C	NM_001180306	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL245C	YDL245C	YDL245C	NP_010036	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL245C	YDL245C	YDL245C	NM_001180305	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL245C	YDL245C	YDL245C	NM_001180305	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL244W	YDL244W	YDL244W	NP_010037	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL244W	YDL244W	YDL244W	NM_001180304	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL244W	YDL244W	YDL244W	NM_001180304	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL243C	YDL243C	YDL243C	NP_010038	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL243C	YDL243C	YDL243C	NM_001180303	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL243C	YDL243C	YDL243C	NM_001180303	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL241W	YDL241W	YDL241W	NP_010040	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL241W	YDL241W	YDL241W	NM_001180301	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL241W	YDL241W	YDL241W	NM_001180301	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL240W	YDL240W	YDL240W	NP_010041	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL240W	YDL240W	YDL240W	NM_001180300	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL240W	YDL240W	YDL240W	NM_001180300	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL239C	YDL239C	YDL239C	NP_010042	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL239C	YDL239C	YDL239C	NM_001180299	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL239C	YDL239C	YDL239C	NM_001180299	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL238C	YDL238C	YDL238C	NP_010043	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL238C	YDL238C	YDL238C	NM_001180298	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL238C	YDL238C	YDL238C	NM_001180298	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL237W	YDL237W	YDL237W	NP_010044	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL237W	YDL237W	YDL237W	NM_001180297	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL237W	YDL237W	YDL237W	NM_001180297	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL236W	YDL236W	YDL236W	NP_010045	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL236W	YDL236W	YDL236W	NM_001180296	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL236W	YDL236W	YDL236W	NM_001180296	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL235C	YDL235C	YDL235C	NP_010046	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL235C	YDL235C	YDL235C	NM_001180295	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL235C	YDL235C	YDL235C	NM_001180295	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL234C	YDL234C	YDL234C	NP_010047	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL234C	YDL234C	YDL234C	NM_001180294	RefSeq_dna	SEQUENCE_MATCH	100	100	-
YDL234C	YDL234C	YDL234C	NM_001180294	RefSeq_mRNA	SEQUENCE_MATCH	100	100	-
YDL233W	YDL233W	YDL233W	NP_010048	RefSeq_peptide	SEQUENCE_MATCH	100	100	-
YDL233W	YDL233W	YDL233W	NM_001180293	RefSeq_dna	SEQUENCE_MATCH	100	100	-
